label;source;target;model;source_r2;source_r2_sd;source_r;source_r_sd;target_r2;target_r2_sd;target_r;target_r_sd
LMA;soybean;sorghum;PLSR;0.6294996985978563;0.2033545329740781;0.846609947651312;0.0804560604242315;-0.7786439604056811;0.4306485973646078;0.188617084733917;0.2103686466203727
LMA;soybean;maize;PLSR;0.6294996985978563;0.2033545329740781;0.846609947651312;0.0804560604242315;-0.7801884409415848;0.1901464403334931;0.0264098478555044;0.0875541359207049
LMA;sorghum;soybean;PLSR;0.9102325941931366;0.0169573869640656;0.9555815809560152;0.0084516256627028;-5.605294403779601;1.079795842638419;-0.0340586524441375;0.0853187892781804
LMA;sorghum;maize;PLSR;0.9102325941931366;0.0169573869640656;0.9555815809560152;0.0084516256627028;-1.4645851481292531;0.2268484835811727;0.1550633506373708;0.0364790351498609
LMA;soybean;sorghum;SA;0.7509334023034603;0.0758854268998334;0.8804610826367703;0.0438296467669185;0.1500612686079421;0.0283744827930609;0.4101451277148494;0.0559952008211168
LMA;maize;soybean;PLSR;0.4401140122052183;0.0561551627074737;0.6725160761013342;0.0364391838038442;-5.0097794691827575;0.6098985888477187;-0.4280121599124522;0.0442941145002384
LMA;soybean;maize;SA;0.7764650203848815;0.0698487447298483;0.8966842056275334;0.0377064826610191;-0.0983371127060743;0.0109672267865083;-0.0387062839777239;0.0148042776165585
LMA;soybean;sorghum;TCA;0.730118893173355;0.0891831342168118;0.8718885950426051;0.045184968985061;-0.0498841687004762;0.1121580319774602;0.3700515284712891;0.0724057165897904
LMA;sorghum;soybean;SA;0.8004262281299946;0.0439330543182974;0.896818299436285;0.0234274494427806;-218.5099785138289;201.71223296743955;0.0631026046271854;0.0838262895977208
LMA;maize;sorghum;PLSR;0.4401140122052183;0.0561551627074737;0.6725160761013342;0.0364391838038442;-1.85673135351462;0.2236466839859479;-0.4594142993209037;0.0305428563129152
N;soybean;camelina;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;-0.0938168368374616;0.3225482688586709;0.4124736933469531;0.111471156584806
LMA;sorghum;maize;SA;0.8041883388339625;0.0411623159221934;0.8988697204521874;0.0222870458062053;-4.403681441449887;1.4482808883777414;0.1293072067049795;0.0248420196171547
N;soybean;sorghum;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;0.2352324562146309;0.1439741609299337;0.497223433078208;0.1266217914322525
N;soybean;maize;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;0.144038146886279;0.125231847113557;0.4373611048025658;0.0942970766943643
LMA;maize;soybean;SA;0.3413931487570212;0.0455295616271061;0.5903760215955941;0.0357100424073396;-2.02715844522391;0.3455706508727727;-0.1200253581813365;0.0780999426430953
N;camelina;soybean;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-12.710189044902831;4.302755695714063;-0.0306274781586013;0.136964153477344
LMA;maize;sorghum;SA;0.3458042040723563;0.0478677270475183;0.5951559157692146;0.03633926892167;0.3583274871316055;0.1748379377992917;0.6452877995742625;0.0722697217767924
N;camelina;sorghum;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-3.4482663578590893;3.101946529457919;-0.3410180289181269;0.3608561990443764
N;soybean;camelina;SA;0.7860307772217204;0.1358956737233099;0.9050461928364588;0.0555040883078522;-0.0683053051811325;0.0921129440201624;0.1837762017742136;0.0793723727762816
N;camelina;maize;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-9.056303619382534;6.380643530765188;-0.4610222410124681;0.2452168916805989
N;soybean;sorghum;SA;0.7929003324164124;0.1153461650514221;0.90829611476502;0.043012536709291;-1.1569051035824558;0.8962459386050431;-0.0827946501308087;0.2927379926419053
N;sorghum;soybean;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-12.245549934651244;2.483558171715125;0.0421339537144447;0.0863857612251906
LMA;soybean;sorghum;CORAL;0.6127939836781322;0.3421611079134114;0.8441992851096751;0.1086892231033058;0.0757331016089506;0.0541935574891914;0.4820722744589366;0.0259862061767899
N;soybean;maize;SA;0.8011467231340097;0.1165122628942871;0.9078500459040602;0.0505743272832123;-0.7255794739395958;0.8234431367892329;0.1123881397573395;0.2327232546233806
N;sorghum;camelina;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-4.2542518222132815;1.945592824534243;0.1624212148871738;0.1104334693024864
N;camelina;soybean;SA;0.7612384252049914;0.0833248129477027;0.8911095322903644;0.0455615021838232;-2.241586028674219;0.575422264748968;0.1880417128295737;0.0683356669799293
N;sorghum;maize;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-1.1878037899339058;0.4404128851252613;-0.0284682031695983;0.1230678602800438
N;camelina;sorghum;SA;0.752408424637127;0.0966565074588187;0.8833167660837574;0.045312849435006;-1.0125378099882796;0.3719318405206204;0.2361863434991131;0.0675840927091574
N;camelina;maize;SA;0.7648245016050439;0.0938487104741325;0.892848031454834;0.0468466610226152;-30.251020548591804;36.03373324333381;0.019913552564051;0.2606013662439134
N;maize;soybean;PLSR;0.7844862007553861;0.0238351232262138;0.8875143159958925;0.012881104756619;-2.527471669819873;0.7074602125423555;0.0447373151402239;0.0619649652504887
N;sorghum;soybean;SA;0.7665579042941062;0.032187440519871;0.878215459583632;0.017533510234612;-30.33741551120368;19.72470936017606;-0.0521556407936309;0.0797307446857025
N;sorghum;camelina;SA;0.7668387901999525;0.0323141682077597;0.8784667386163683;0.0175299080370034;-4.756629315067155;1.3269019621243263;-0.3551128901107608;0.1194330432134197
